Transaction_ID,Transaction_Date,Amount (AUD),Merchant,Payment_Method,Terminal_ID,Location,Merchant_Type,Risk_Score (1-10)
TXN721667,2024-01-04,127.9,Electronics,Cash,TERM641,"Brisbane, QLD",Retail Grocery,9
TXN600515,2024-02-06,419.14,Supermarket,Cash,TERM691,"Brisbane, QLD",Fuel Station,7
TXN787951,2024-01-23,136.18,Restaurant,Credit Card,TERM632,"Perth, WA",Dining,4
TXN327524,2024-02-12,299.04,Supermarket,Debit Card,TERM965,"Sydney, NSW",Fashion,9
TXN897521,2024-02-11,473.05,Online Store,Net Banking,TERM187,"Sydney, NSW",E-Commerce,8
TXN719986,2024-01-10,404.78,Electronics,Debit Card,TERM393,"Melbourne, VIC",E-Commerce,8
TXN662878,2024-01-04,401.43,Online Store,Credit Card,TERM318,"Adelaide, SA",Fuel Station,8
TXN767199,2024-02-17,297.35,Online Store,Cash,TERM791,"Perth, WA",Fuel Station,7
TXN923596,2024-01-30,137.19,Restaurant,Debit Card,TERM629,"Adelaide, SA",E-Commerce,7
TXN744738,2024-01-14,459.3,Restaurant,Debit Card,TERM292,"Perth, WA",Fuel Station,5
TXN261075,2024-01-22,447.56,Supermarket,UPI,TERM900,"Melbourne, VIC",Fuel Station,1
TXN339665,2024-01-30,182.49,Online Store,UPI,TERM525,"Brisbane, QLD",Fuel Station,6
TXN292275,2024-01-09,156.79,Supermarket,Credit Card,TERM409,"Sydney, NSW",Electronics,5
TXN212107,2024-01-17,145.03,Supermarket,Credit Card,TERM946,"Perth, WA",E-Commerce,1
TXN706178,2024-02-05,305.51,Clothing,Credit Card,TERM283,"Sydney, NSW",Dining,5
TXN327785,2024-01-13,22.92,Electronics,Cash,TERM203,"Melbourne, VIC",Electronics,10
TXN556103,2024-02-12,330.5,Supermarket,Debit Card,TERM481,"Brisbane, QLD",Fashion,3
TXN511800,2024-01-02,209.49,Electronics,Net Banking,TERM431,"Perth, WA",Fuel Station,3
TXN165233,2024-01-03,228.69,Restaurant,Net Banking,TERM577,"Brisbane, QLD",E-Commerce,9
TXN806750,2024-02-13,459.98,Restaurant,UPI,TERM992,"Brisbane, QLD",Fashion,3
TXN368039,2024-02-19,84.32,Supermarket,Cash,TERM751,"Brisbane, QLD",Dining,9
TXN442656,2024-01-01,268.69,Supermarket,Debit Card,TERM503,"Perth, WA",E-Commerce,9
TXN215140,2024-01-18,100.21,Restaurant,UPI,TERM641,"Brisbane, QLD",Fashion,4
TXN164341,2024-02-02,448.61,Supermarket,Credit Card,TERM596,"Sydney, NSW",Retail Grocery,10
TXN594851,2024-02-14,212.31,Supermarket,Credit Card,TERM510,"Perth, WA",E-Commerce,3
TXN774636,2024-02-18,459.66,Online Store,Debit Card,TERM169,"Brisbane, QLD",Retail Grocery,2
TXN540620,2024-02-18,244.16,Electronics,UPI,TERM415,"Perth, WA",Retail Grocery,4
TXN217654,2024-01-26,372.75,Clothing,Credit Card,TERM826,"Sydney, NSW",E-Commerce,2
TXN671607,2024-02-09,378.26,Online Store,Cash,TERM839,"Perth, WA",E-Commerce,9
TXN597115,2024-01-21,63.7,Restaurant,Credit Card,TERM972,"Brisbane, QLD",Fuel Station,6
TXN239238,2024-02-01,152.74,Restaurant,UPI,TERM322,"Perth, WA",Fashion,4
TXN659314,2024-01-02,253.02,Online Store,Debit Card,TERM633,"Adelaide, SA",Dining,2
TXN133710,2024-01-08,8.57,Restaurant,UPI,TERM335,"Adelaide, SA",Dining,8
TXN677732,2024-01-07,129.21,Online Store,Credit Card,TERM198,"Adelaide, SA",Retail Grocery,5
TXN621057,2024-01-12,433.93,Online Store,Net Banking,TERM409,"Sydney, NSW",E-Commerce,1
TXN287669,2024-02-17,170.91,Restaurant,Net Banking,TERM536,"Perth, WA",Dining,2
TXN275201,2024-02-01,27.38,Online Store,Debit Card,TERM497,"Adelaide, SA",Dining,10
TXN726181,2024-01-08,257.34,Online Store,Debit Card,TERM461,"Perth, WA",Dining,3
TXN487988,2024-02-03,438.99,Clothing,Net Banking,TERM344,"Brisbane, QLD",Fashion,5
TXN405881,2024-01-06,415.54,Online Store,Credit Card,TERM861,"Melbourne, VIC",Fashion,5
TXN752631,2024-01-06,401.99,Clothing,Credit Card,TERM726,"Brisbane, QLD",Fashion,4
TXN432344,2024-02-03,372.54,Online Store,Credit Card,TERM176,"Adelaide, SA",Fashion,5
TXN331018,2024-02-08,348.3,Electronics,Debit Card,TERM659,"Adelaide, SA",Electronics,5
TXN752253,2024-02-13,289.74,Restaurant,Cash,TERM321,"Sydney, NSW",Dining,4
TXN214395,2024-01-30,79.18,Supermarket,Cash,TERM391,"Sydney, NSW",E-Commerce,8
TXN857701,2024-01-22,272.52,Clothing,Credit Card,TERM945,"Sydney, NSW",Fuel Station,7
TXN166249,2024-02-05,470.89,Online Store,Cash,TERM167,"Adelaide, SA",Electronics,3
TXN440521,2024-01-12,269.62,Supermarket,Net Banking,TERM886,"Brisbane, QLD",Fashion,9
TXN202840,2024-01-09,77.7,Online Store,Cash,TERM932,"Adelaide, SA",Dining,4
TXN382054,2024-01-28,302.62,Supermarket,Cash,TERM887,"Melbourne, VIC",Fuel Station,7
TXN720477,2024-01-06,10.73,Online Store,Credit Card,TERM160,"Perth, WA",Dining,10
TXN830658,2024-02-15,400.83,Restaurant,Cash,TERM728,"Sydney, NSW",Retail Grocery,3
TXN299771,2024-01-01,90.92,Restaurant,UPI,TERM400,"Melbourne, VIC",Fuel Station,6
TXN464764,2024-02-13,268.75,Restaurant,Net Banking,TERM496,"Melbourne, VIC",E-Commerce,3
TXN183893,2024-01-23,446.46,Supermarket,Credit Card,TERM556,"Adelaide, SA",E-Commerce,6
TXN121177,2024-02-09,227.1,Supermarket,UPI,TERM763,"Perth, WA",Retail Grocery,5
TXN872616,2024-01-09,35.05,Online Store,Debit Card,TERM556,"Adelaide, SA",Retail Grocery,1
TXN324765,2024-01-14,222.15,Supermarket,Net Banking,TERM157,"Adelaide, SA",Dining,4
TXN908048,2024-02-17,32.37,Restaurant,Credit Card,TERM459,"Brisbane, QLD",Fashion,2
TXN435036,2024-01-07,444.89,Restaurant,UPI,TERM871,"Adelaide, SA",Retail Grocery,4
TXN818869,2024-02-11,324.25,Electronics,UPI,TERM453,"Melbourne, VIC",Fuel Station,3
TXN102129,2024-01-05,162.2,Restaurant,Credit Card,TERM143,"Sydney, NSW",Dining,2
TXN702295,2024-02-10,437.49,Electronics,Credit Card,TERM199,"Perth, WA",Fuel Station,7
TXN364153,2024-02-20,76.68,Clothing,Credit Card,TERM898,"Brisbane, QLD",Fashion,6
TXN651928,2024-01-23,37.33,Restaurant,Cash,TERM715,"Melbourne, VIC",Electronics,7
TXN499996,2024-01-20,426.69,Supermarket,Credit Card,TERM299,"Brisbane, QLD",Fashion,4
TXN302349,2024-01-04,352.02,Online Store,Net Banking,TERM934,"Perth, WA",Dining,6
TXN632257,2024-01-08,122.28,Supermarket,Net Banking,TERM567,"Perth, WA",Dining,6
TXN994472,2024-02-02,60.27,Online Store,Debit Card,TERM990,"Perth, WA",Electronics,1
TXN626397,2024-02-06,82.04,Restaurant,Credit Card,TERM193,"Melbourne, VIC",Retail Grocery,4
TXN551583,2024-02-19,439.56,Electronics,UPI,TERM410,"Sydney, NSW",Retail Grocery,6
TXN715405,2024-01-31,141.9,Clothing,UPI,TERM731,"Perth, WA",Fashion,6
TXN481387,2024-01-18,401.16,Online Store,Cash,TERM533,"Perth, WA",Retail Grocery,4
TXN758397,2024-02-03,316.8,Electronics,Cash,TERM480,"Sydney, NSW",Fashion,9
TXN773567,2024-01-05,35.19,Restaurant,UPI,TERM169,"Adelaide, SA",E-Commerce,4
TXN577924,2024-01-28,60.26,Electronics,Debit Card,TERM857,"Sydney, NSW",E-Commerce,3
TXN415428,2024-01-28,349.16,Online Store,UPI,TERM222,"Brisbane, QLD",Fashion,2
TXN616897,2024-01-13,357.61,Supermarket,UPI,TERM592,"Sydney, NSW",Retail Grocery,10
TXN398509,2024-02-11,445.49,Online Store,Debit Card,TERM761,"Brisbane, QLD",Fashion,4
TXN699884,2024-02-12,439.32,Online Store,Debit Card,TERM249,"Brisbane, QLD",Retail Grocery,3
TXN658715,2024-01-04,453.17,Clothing,Credit Card,TERM158,"Brisbane, QLD",Dining,1
TXN406557,2024-02-17,115.89,Electronics,Net Banking,TERM346,"Perth, WA",Electronics,2
TXN856526,2024-02-03,212.33,Electronics,UPI,TERM263,"Adelaide, SA",Dining,5
TXN912183,2024-01-03,268.38,Electronics,UPI,TERM500,"Melbourne, VIC",Dining,10
TXN794710,2024-01-21,389.48,Electronics,Debit Card,TERM238,"Melbourne, VIC",Fuel Station,1
TXN436798,2024-01-08,452.08,Clothing,UPI,TERM157,"Brisbane, QLD",Retail Grocery,6
TXN120073,2024-01-26,305.52,Supermarket,Cash,TERM938,"Perth, WA",Retail Grocery,4
TXN826047,2024-01-24,183.91,Online Store,UPI,TERM638,"Melbourne, VIC",E-Commerce,8
TXN774570,2024-02-07,356.98,Electronics,Debit Card,TERM904,"Perth, WA",Dining,3
TXN321476,2024-02-01,114.37,Restaurant,UPI,TERM220,"Brisbane, QLD",Fuel Station,4
TXN569872,2024-01-07,287.41,Restaurant,Cash,TERM571,"Melbourne, VIC",E-Commerce,5
TXN541140,2024-02-10,374.88,Electronics,Net Banking,TERM874,"Adelaide, SA",E-Commerce,2
TXN509014,2024-01-01,38.72,Clothing,UPI,TERM119,"Adelaide, SA",Dining,1
TXN610215,2024-02-08,464.74,Restaurant,Debit Card,TERM436,"Adelaide, SA",Dining,4
TXN625390,2024-01-15,235.02,Online Store,UPI,TERM301,"Melbourne, VIC",Retail Grocery,4
TXN910789,2024-02-11,34.16,Online Store,Cash,TERM171,"Brisbane, QLD",Fuel Station,7
TXN378239,2024-01-19,181.88,Electronics,Credit Card,TERM272,"Sydney, NSW",Electronics,9
TXN971511,2024-01-10,50.21,Supermarket,Debit Card,TERM572,"Melbourne, VIC",Fuel Station,7
TXN915419,2024-02-03,60.94,Clothing,Net Banking,TERM517,"Perth, WA",Dining,7
TXN968315,2024-02-13,213.23,Restaurant,Cash,TERM184,"Sydney, NSW",Fashion,5
TXN528672,2024-01-25,44.25,Restaurant,UPI,TERM600,"Sydney, NSW",Fashion,4
TXN566342,2024-01-23,477.56,Electronics,Debit Card,TERM418,"Melbourne, VIC",Fuel Station,2
TXN687248,2024-01-27,249.2,Supermarket,Net Banking,TERM283,"Sydney, NSW",Electronics,10
TXN628778,2024-01-20,249.61,Supermarket,Debit Card,TERM363,"Brisbane, QLD",Retail Grocery,2
TXN104805,2024-01-07,484.46,Restaurant,Credit Card,TERM930,"Melbourne, VIC",Fashion,5
TXN707479,2024-01-19,32.61,Restaurant,Cash,TERM494,"Perth, WA",Fashion,10
TXN380831,2024-01-09,240.34,Supermarket,UPI,TERM958,"Melbourne, VIC",Fuel Station,4
TXN729937,2024-01-26,230.52,Online Store,UPI,TERM716,"Melbourne, VIC",Retail Grocery,7
TXN595222,2024-02-10,468.09,Clothing,Credit Card,TERM794,"Melbourne, VIC",Fuel Station,8
TXN434926,2024-01-13,223.0,Electronics,Credit Card,TERM480,"Adelaide, SA",Electronics,3
TXN508865,2024-02-02,67.75,Clothing,UPI,TERM598,"Perth, WA",Dining,1
TXN172941,2024-01-19,456.28,Online Store,Cash,TERM601,"Sydney, NSW",Dining,9
TXN195409,2024-01-16,415.66,Online Store,Cash,TERM406,"Perth, WA",E-Commerce,5
TXN864068,2024-01-09,28.57,Supermarket,Cash,TERM946,"Brisbane, QLD",Fashion,10
TXN471989,2024-02-14,223.33,Supermarket,Debit Card,TERM843,"Perth, WA",E-Commerce,3
TXN630066,2024-01-28,414.56,Electronics,Credit Card,TERM503,"Perth, WA",Fuel Station,1
TXN730798,2024-01-04,335.23,Online Store,Net Banking,TERM195,"Sydney, NSW",Retail Grocery,6
TXN552371,2024-01-23,165.32,Electronics,UPI,TERM900,"Adelaide, SA",E-Commerce,3
TXN610525,2024-01-29,388.79,Restaurant,Cash,TERM918,"Sydney, NSW",Fuel Station,6
TXN488103,2024-01-02,436.76,Restaurant,Cash,TERM338,"Adelaide, SA",Retail Grocery,9
TXN786278,2024-02-19,21.59,Restaurant,Credit Card,TERM306,"Brisbane, QLD",E-Commerce,9
TXN895225,2024-01-26,115.78,Supermarket,Net Banking,TERM536,"Brisbane, QLD",Electronics,9
TXN171358,2024-01-16,439.99,Restaurant,Credit Card,TERM581,"Perth, WA",Retail Grocery,10
TXN983857,2024-02-17,237.58,Electronics,Cash,TERM530,"Brisbane, QLD",Retail Grocery,6
TXN513696,2024-01-04,263.62,Electronics,Cash,TERM606,"Melbourne, VIC",Electronics,4
TXN641285,2024-02-12,422.8,Restaurant,Cash,TERM817,"Sydney, NSW",Electronics,8
TXN278044,2024-01-05,417.02,Electronics,Net Banking,TERM150,"Adelaide, SA",Fuel Station,6
TXN395177,2024-01-19,429.05,Clothing,Cash,TERM976,"Melbourne, VIC",Retail Grocery,6
TXN460430,2024-01-19,476.16,Electronics,Debit Card,TERM894,"Sydney, NSW",Dining,8
TXN479230,2024-02-10,454.31,Electronics,Net Banking,TERM993,"Adelaide, SA",Fuel Station,10
TXN660885,2024-01-24,127.55,Clothing,UPI,TERM888,"Adelaide, SA",Fuel Station,6
TXN571330,2024-02-05,383.65,Electronics,Cash,TERM872,"Perth, WA",E-Commerce,4
TXN102347,2024-02-04,255.21,Clothing,Debit Card,TERM868,"Sydney, NSW",Dining,9
TXN605739,2024-01-11,104.12,Electronics,Credit Card,TERM991,"Sydney, NSW",Dining,10
TXN896917,2024-02-08,66.84,Clothing,Cash,TERM960,"Adelaide, SA",Fashion,6
TXN704013,2024-02-01,213.29,Online Store,Credit Card,TERM381,"Brisbane, QLD",Fashion,4
TXN379250,2024-01-15,334.77,Online Store,UPI,TERM408,"Perth, WA",Fashion,1
TXN558231,2024-02-13,42.83,Clothing,Debit Card,TERM606,"Melbourne, VIC",Retail Grocery,4
TXN720690,2024-02-12,248.3,Restaurant,Net Banking,TERM292,"Adelaide, SA",Fashion,7
TXN520505,2024-01-11,244.79,Electronics,Debit Card,TERM928,"Perth, WA",E-Commerce,1
TXN276580,2024-02-08,97.55,Online Store,Cash,TERM751,"Adelaide, SA",Fuel Station,5
TXN424453,2024-01-13,264.65,Supermarket,UPI,TERM267,"Sydney, NSW",Fashion,3
TXN565341,2024-02-10,305.61,Supermarket,Net Banking,TERM501,"Brisbane, QLD",Retail Grocery,5
TXN863764,2024-01-28,140.35,Online Store,Credit Card,TERM448,"Adelaide, SA",Retail Grocery,3
TXN674342,2024-01-30,14.79,Online Store,Cash,TERM150,"Sydney, NSW",Dining,1
TXN114566,2024-02-11,210.37,Electronics,UPI,TERM589,"Perth, WA",Electronics,1
TXN213120,2024-01-17,248.0,Electronics,Credit Card,TERM793,"Sydney, NSW",Fuel Station,1
TXN518693,2024-02-17,385.79,Restaurant,Net Banking,TERM434,"Melbourne, VIC",Dining,3
TXN318699,2024-01-31,20.83,Supermarket,Debit Card,TERM704,"Perth, WA",E-Commerce,2
TXN888669,2024-01-21,215.0,Restaurant,Credit Card,TERM464,"Adelaide, SA",Electronics,9
TXN852024,2024-01-29,169.81,Electronics,UPI,TERM674,"Melbourne, VIC",Fashion,8
TXN367993,2024-01-08,105.02,Online Store,Cash,TERM595,"Sydney, NSW",Retail Grocery,2
TXN698104,2024-01-05,419.29,Supermarket,UPI,TERM528,"Brisbane, QLD",Fuel Station,2
TXN287449,2024-02-10,375.03,Clothing,UPI,TERM707,"Perth, WA",Electronics,5
TXN563837,2024-01-18,229.43,Supermarket,Debit Card,TERM291,"Adelaide, SA",Fashion,6
TXN403153,2024-01-31,417.15,Online Store,Debit Card,TERM709,"Brisbane, QLD",Retail Grocery,9
TXN784158,2024-02-15,284.85,Restaurant,UPI,TERM608,"Brisbane, QLD",Retail Grocery,9
TXN388419,2024-01-22,182.39,Online Store,Net Banking,TERM152,"Sydney, NSW",Dining,2
TXN370922,2024-01-22,341.3,Restaurant,Cash,TERM286,"Brisbane, QLD",Retail Grocery,7
TXN684742,2024-02-05,99.55,Online Store,Cash,TERM173,"Perth, WA",E-Commerce,8
TXN669061,2024-02-16,421.43,Supermarket,Debit Card,TERM712,"Sydney, NSW",Fashion,7
TXN167702,2024-02-19,409.32,Online Store,UPI,TERM726,"Perth, WA",Fashion,10
TXN644365,2024-01-13,495.22,Restaurant,Credit Card,TERM609,"Adelaide, SA",Fuel Station,9
TXN866612,2024-02-08,259.34,Restaurant,Credit Card,TERM910,"Sydney, NSW",Fashion,8
TXN626367,2024-02-20,258.31,Online Store,Cash,TERM312,"Brisbane, QLD",Fuel Station,9
TXN335827,2024-02-19,112.88,Supermarket,Net Banking,TERM528,"Perth, WA",Fashion,1
TXN455185,2024-01-24,442.24,Electronics,Cash,TERM196,"Adelaide, SA",Fashion,3
TXN601479,2024-01-10,397.03,Clothing,UPI,TERM154,"Melbourne, VIC",Retail Grocery,9
TXN699166,2024-02-09,310.9,Restaurant,Debit Card,TERM160,"Melbourne, VIC",Dining,2
TXN245972,2024-01-03,197.7,Restaurant,Cash,TERM582,"Perth, WA",Retail Grocery,9
TXN106529,2024-01-23,300.89,Online Store,Credit Card,TERM864,"Melbourne, VIC",Electronics,3
TXN493324,2024-01-03,125.37,Clothing,Net Banking,TERM169,"Perth, WA",Electronics,8
TXN312714,2024-02-15,433.22,Electronics,Net Banking,TERM469,"Melbourne, VIC",E-Commerce,10
TXN185610,2024-02-11,23.49,Restaurant,Credit Card,TERM165,"Perth, WA",Electronics,10
TXN204166,2024-01-16,38.68,Clothing,Cash,TERM201,"Melbourne, VIC",Retail Grocery,4
TXN907505,2024-02-05,285.73,Supermarket,UPI,TERM519,"Adelaide, SA",Fuel Station,8
TXN495758,2024-01-06,225.38,Online Store,Net Banking,TERM853,"Adelaide, SA",Electronics,9
TXN677272,2024-01-18,89.34,Online Store,Cash,TERM994,"Sydney, NSW",E-Commerce,6
TXN808123,2024-01-18,147.55,Electronics,Net Banking,TERM606,"Adelaide, SA",E-Commerce,2
TXN283932,2024-01-03,212.07,Restaurant,UPI,TERM395,"Sydney, NSW",Fuel Station,7
TXN204876,2024-01-14,469.18,Supermarket,UPI,TERM957,"Perth, WA",Fashion,2
TXN345218,2024-01-10,306.75,Supermarket,Debit Card,TERM220,"Brisbane, QLD",E-Commerce,10
TXN592908,2024-02-07,26.48,Restaurant,UPI,TERM889,"Melbourne, VIC",Fashion,7
TXN997138,2024-01-21,166.44,Clothing,UPI,TERM896,"Brisbane, QLD",Fuel Station,1
TXN875492,2024-02-14,62.96,Restaurant,Debit Card,TERM825,"Perth, WA",Electronics,6
TXN694382,2024-02-10,217.18,Restaurant,UPI,TERM624,"Brisbane, QLD",Fuel Station,5
TXN872596,2024-01-18,371.92,Online Store,Credit Card,TERM999,"Perth, WA",E-Commerce,2
TXN493442,2024-01-04,282.34,Electronics,Cash,TERM192,"Brisbane, QLD",Fuel Station,2
TXN695495,2024-01-21,100.23,Clothing,UPI,TERM461,"Adelaide, SA",Fuel Station,1
TXN313004,2024-01-04,263.36,Online Store,Net Banking,TERM657,"Perth, WA",Electronics,5
TXN826187,2024-01-17,286.7,Supermarket,Debit Card,TERM869,"Adelaide, SA",Fashion,6
TXN608438,2024-01-29,415.82,Online Store,Credit Card,TERM245,"Adelaide, SA",Fashion,6
TXN582799,2024-01-29,48.23,Restaurant,Debit Card,TERM363,"Perth, WA",Fuel Station,9
TXN831277,2024-01-12,485.45,Clothing,UPI,TERM370,"Adelaide, SA",Retail Grocery,9
