Transaction_ID,Transaction_Date,Amount,Merchant,Payment_Method
TXN554990,2024-01-06,215.89,Online Store,Net Banking
TXN550302,2024-01-17,287.78,Electronics,Cash
TXN571455,2024-01-02,385.69,Clothing,Net Banking
TXN792624,2024-01-26,339.29,Online Store,Cash
TXN102270,2024-01-02,26.19,Restaurant,Debit Card
TXN283184,2024-01-14,361.89,Restaurant,Cash
TXN346599,2024-01-05,226.62,Clothing,Cash
TXN202565,2024-02-02,428.36,Supermarket,Credit Card
TXN699929,2024-01-22,377.5,Clothing,Net Banking
TXN970169,2024-01-05,359.21,Electronics,Net Banking
TXN367812,2024-02-02,448.64,Online Store,Net Banking
TXN826208,2024-02-09,84.99,Clothing,Debit Card
TXN563086,2024-01-21,447.72,Supermarket,Credit Card
TXN568278,2024-01-04,310.54,Electronics,Debit Card
TXN630668,2024-01-23,383.0,Electronics,Net Banking
TXN281117,2024-01-14,349.52,Online Store,Credit Card
TXN689261,2024-02-20,376.68,Electronics,Debit Card
TXN274775,2024-01-18,60.98,Online Store,Debit Card
TXN361514,2024-01-02,300.78,Online Store,Credit Card
TXN171759,2024-01-18,373.36,Electronics,Cash
TXN303210,2024-01-05,405.74,Online Store,UPI
TXN228402,2024-01-23,45.07,Supermarket,Credit Card
TXN103541,2024-01-16,440.37,Restaurant,Debit Card
TXN559136,2024-01-10,169.27,Clothing,UPI
TXN898886,2024-01-22,175.55,Restaurant,Debit Card
TXN543743,2024-01-22,258.03,Clothing,Net Banking
TXN565142,2024-01-19,93.55,Online Store,Cash
TXN314098,2024-02-17,389.5,Supermarket,UPI
TXN701132,2024-01-25,341.87,Restaurant,Debit Card
TXN643423,2024-01-21,334.25,Online Store,Cash
TXN233518,2024-01-05,370.98,Supermarket,Cash
TXN217382,2024-02-17,189.88,Clothing,Credit Card
TXN931924,2024-01-23,282.27,Supermarket,Net Banking
TXN410539,2024-01-15,18.82,Electronics,Net Banking
TXN784151,2024-01-16,408.69,Electronics,UPI
TXN681572,2024-01-16,443.49,Electronics,Credit Card
TXN901239,2024-01-05,302.02,Restaurant,Cash
TXN859621,2024-01-18,338.74,Restaurant,Debit Card
TXN645393,2024-02-02,331.05,Electronics,Cash
TXN885826,2024-01-07,105.84,Supermarket,UPI
TXN520596,2024-01-06,492.34,Online Store,Net Banking
TXN853036,2024-01-23,184.18,Electronics,Debit Card
TXN335575,2024-01-30,176.34,Electronics,UPI
TXN756978,2024-01-11,41.68,Clothing,Debit Card
TXN244900,2024-01-17,243.23,Online Store,Cash
TXN345696,2024-02-08,317.87,Restaurant,Net Banking
TXN887417,2024-01-30,107.97,Supermarket,UPI
TXN425414,2024-01-12,283.68,Electronics,Net Banking
TXN664791,2024-01-15,31.14,Supermarket,Net Banking
TXN664446,2024-02-18,294.44,Clothing,Cash
TXN889823,2024-01-06,334.62,Online Store,Credit Card
TXN391295,2024-01-01,317.31,Electronics,Cash
TXN429998,2024-02-09,349.77,Online Store,Net Banking
TXN819341,2024-01-25,69.75,Clothing,Net Banking
TXN804779,2024-01-03,223.51,Online Store,Net Banking
TXN625065,2024-01-06,322.7,Supermarket,Cash
TXN274600,2024-01-04,331.04,Online Store,Net Banking
TXN604861,2024-01-23,496.86,Restaurant,UPI
TXN287305,2024-01-08,439.95,Clothing,Cash
TXN648614,2024-01-19,6.92,Supermarket,UPI
TXN297401,2024-01-10,55.33,Supermarket,Cash
TXN654007,2024-02-09,468.71,Clothing,Net Banking
TXN942779,2024-01-08,85.67,Electronics,Cash
TXN943344,2024-02-05,338.73,Clothing,Credit Card
TXN554028,2024-01-03,143.09,Online Store,Net Banking
TXN823625,2024-01-21,205.92,Online Store,Net Banking
TXN253829,2024-01-11,57.05,Supermarket,UPI
TXN116622,2024-01-04,419.07,Online Store,Net Banking
TXN298029,2024-01-26,395.48,Electronics,Net Banking
TXN596261,2024-02-19,40.24,Electronics,Credit Card
TXN593639,2024-01-03,282.01,Electronics,Net Banking
TXN337760,2024-01-30,210.81,Restaurant,UPI
TXN969771,2024-02-03,437.48,Online Store,Credit Card
TXN213642,2024-01-02,374.33,Supermarket,Debit Card
TXN922121,2024-01-22,218.18,Supermarket,UPI
TXN738397,2024-01-31,424.94,Electronics,Debit Card
TXN683440,2024-02-01,71.8,Clothing,UPI
TXN334111,2024-02-17,334.69,Supermarket,Cash
TXN967510,2024-02-18,192.48,Online Store,Net Banking
TXN514794,2024-01-12,218.74,Supermarket,Net Banking
TXN345221,2024-02-18,452.17,Restaurant,Debit Card
TXN240791,2024-01-21,48.12,Electronics,Credit Card
TXN153820,2024-02-15,343.75,Online Store,UPI
TXN313158,2024-01-03,259.74,Online Store,Cash
TXN556354,2024-02-04,315.58,Clothing,Credit Card
TXN860702,2024-02-10,37.2,Supermarket,Debit Card
TXN895780,2024-01-31,400.95,Supermarket,Debit Card
TXN946402,2024-01-17,359.38,Electronics,Debit Card
TXN166184,2024-01-15,316.8,Clothing,Credit Card
TXN699167,2024-01-07,176.93,Electronics,Debit Card
TXN316932,2024-01-31,180.19,Online Store,Cash
TXN999402,2024-02-18,99.01,Restaurant,Cash
TXN936168,2024-01-21,158.29,Supermarket,Debit Card
TXN226828,2024-01-14,452.15,Clothing,Cash
TXN363552,2024-02-13,360.71,Clothing,Cash
TXN547596,2024-01-08,32.83,Online Store,Net Banking
TXN658979,2024-01-09,66.69,Online Store,Debit Card
TXN779599,2024-01-20,40.81,Online Store,Cash
TXN886007,2024-01-30,387.3,Electronics,Cash
TXN840513,2024-02-04,158.37,Clothing,UPI
TXN331452,2024-01-01,202.82,Online Store,Cash
TXN299540,2024-02-12,6.53,Electronics,Cash
TXN544374,2024-02-09,159.45,Supermarket,UPI
TXN631799,2024-01-20,189.31,Supermarket,Cash
TXN535488,2024-02-06,493.13,Online Store,Cash
TXN874980,2024-01-28,51.2,Online Store,Credit Card
TXN232562,2024-02-09,180.75,Restaurant,Net Banking
TXN779066,2024-01-05,341.49,Supermarket,Credit Card
TXN970058,2024-01-01,239.58,Supermarket,Credit Card
TXN808380,2024-01-16,297.4,Restaurant,Cash
TXN318398,2024-01-16,354.81,Restaurant,Net Banking
TXN498666,2024-02-09,225.33,Restaurant,Credit Card
TXN644692,2024-01-10,36.46,Electronics,Credit Card
TXN808929,2024-02-16,76.09,Clothing,Net Banking
TXN494909,2024-02-18,180.13,Restaurant,Cash
TXN579517,2024-01-29,377.18,Clothing,Credit Card
TXN583372,2024-01-02,129.83,Electronics,Cash
TXN763391,2024-02-17,271.23,Supermarket,UPI
TXN245008,2024-01-08,38.03,Restaurant,Credit Card
TXN651790,2024-01-30,383.34,Online Store,Credit Card
TXN570608,2024-01-20,118.26,Online Store,Cash
TXN739394,2024-01-10,155.48,Electronics,Net Banking
TXN162171,2024-02-19,197.47,Supermarket,Cash
TXN212810,2024-01-20,147.47,Restaurant,Cash
TXN896676,2024-02-16,100.74,Electronics,Credit Card
TXN445088,2024-01-07,121.62,Supermarket,Net Banking
TXN953643,2024-02-11,316.73,Supermarket,Cash
TXN331775,2024-01-21,218.99,Supermarket,Cash
TXN896562,2024-01-20,257.29,Clothing,Cash
TXN784842,2024-02-13,350.52,Online Store,Debit Card
TXN255725,2024-01-07,95.58,Supermarket,Debit Card
TXN141077,2024-01-09,280.88,Restaurant,UPI
TXN667500,2024-01-02,76.01,Electronics,Cash
TXN838878,2024-01-19,496.27,Electronics,Debit Card
TXN354486,2024-01-09,256.08,Online Store,Cash
TXN170518,2024-02-08,211.68,Clothing,Credit Card
TXN848298,2024-01-18,328.75,Supermarket,Net Banking
TXN193423,2024-02-06,199.18,Supermarket,Debit Card
TXN157648,2024-02-18,483.51,Clothing,Net Banking
TXN174134,2024-01-12,145.82,Electronics,UPI
TXN420150,2024-02-09,251.57,Electronics,Net Banking
TXN869600,2024-01-16,475.84,Restaurant,Cash
TXN616126,2024-01-10,448.48,Restaurant,UPI
TXN523240,2024-01-12,469.61,Online Store,Net Banking
TXN859936,2024-02-17,419.39,Online Store,Debit Card
TXN791515,2024-02-11,380.19,Supermarket,Cash
TXN430734,2024-01-17,271.0,Restaurant,Debit Card
TXN472338,2024-01-01,189.79,Restaurant,Credit Card
TXN898504,2024-01-05,495.41,Supermarket,Net Banking
TXN284886,2024-02-07,64.98,Supermarket,Debit Card
TXN101865,2024-01-08,425.04,Clothing,Credit Card
TXN254519,2024-01-05,437.66,Supermarket,Debit Card
TXN126943,2024-02-20,210.22,Online Store,UPI
TXN845720,2024-01-16,412.53,Electronics,Cash
TXN143385,2024-02-11,263.67,Electronics,Cash
TXN404402,2024-01-24,251.43,Restaurant,Credit Card
TXN305150,2024-02-06,436.94,Restaurant,Debit Card
TXN354589,2024-02-11,399.32,Clothing,Cash
TXN724215,2024-02-13,486.4,Restaurant,Cash
TXN167197,2024-01-29,35.89,Clothing,Credit Card
TXN210993,2024-01-16,205.92,Clothing,Net Banking
TXN667331,2024-02-08,252.29,Clothing,Credit Card
TXN605312,2024-01-29,200.83,Clothing,Cash
TXN484604,2024-01-08,418.22,Online Store,Debit Card
TXN875172,2024-01-24,190.15,Clothing,Debit Card
TXN453361,2024-02-15,132.33,Clothing,Cash
TXN516593,2024-02-02,149.85,Clothing,Debit Card
TXN350383,2024-02-02,322.93,Supermarket,Cash
TXN857924,2024-01-24,422.19,Online Store,Credit Card
TXN865813,2024-02-18,162.21,Online Store,Cash
TXN686296,2024-01-07,108.34,Online Store,Net Banking
TXN593636,2024-02-14,47.96,Restaurant,UPI
TXN439148,2024-02-13,263.3,Electronics,Credit Card
TXN451338,2024-02-18,340.42,Restaurant,Net Banking
TXN313789,2024-01-23,170.92,Clothing,Credit Card
TXN623725,2024-02-01,263.09,Restaurant,Cash
TXN494314,2024-01-17,314.52,Electronics,Credit Card
TXN752914,2024-01-28,118.66,Electronics,Net Banking
TXN153112,2024-01-16,228.51,Online Store,Debit Card
TXN520926,2024-01-23,316.16,Supermarket,Net Banking
TXN750333,2024-01-31,115.43,Clothing,UPI
TXN282333,2024-02-03,73.06,Electronics,Debit Card
TXN530251,2024-01-12,305.99,Restaurant,Cash
TXN729669,2024-01-29,40.71,Clothing,Cash
TXN851287,2024-01-14,167.02,Online Store,Net Banking
TXN355123,2024-01-01,409.71,Clothing,Credit Card
TXN138008,2024-02-04,424.89,Online Store,Cash
TXN470266,2024-02-19,374.77,Clothing,Cash
TXN352655,2024-01-17,463.04,Restaurant,Net Banking
TXN563015,2024-01-05,225.92,Restaurant,Net Banking
TXN455095,2024-01-17,96.45,Restaurant,Debit Card
TXN516374,2024-02-02,365.99,Restaurant,Credit Card
TXN792937,2024-02-02,196.83,Supermarket,Net Banking
TXN731192,2024-01-31,371.36,Clothing,Cash
TXN721133,2024-01-10,287.44,Restaurant,Credit Card
TXN462647,2024-02-15,40.72,Clothing,UPI
TXN419688,2024-02-07,454.19,Supermarket,UPI
TXN580722,2024-01-18,450.14,Supermarket,Cash
TXN222326,2024-01-06,472.53,Electronics,Net Banking
TXN475235,2024-01-27,245.32,Clothing,UPI
TXN771604,2024-01-25,303.64,Restaurant,Net Banking
TXN567241,2024-01-07,156.81,Supermarket,Credit Card
TXN108814,2024-01-08,98.58,Online Store,Net Banking
TXN690572,2024-01-28,490.01,Online Store,Net Banking
TXN740228,2024-02-02,332.86,Electronics,Cash
TXN717789,2024-01-08,276.6,Online Store,Credit Card
TXN242423,2024-01-28,303.85,Clothing,Debit Card
TXN779247,2024-01-19,391.98,Restaurant,Debit Card
TXN910458,2024-02-11,50.9,Electronics,UPI
TXN684304,2024-01-10,196.2,Electronics,UPI
TXN946988,2024-01-08,218.35,Online Store,Net Banking
TXN717999,2024-02-15,443.16,Online Store,UPI
TXN626907,2024-02-03,213.69,Restaurant,Cash
TXN674489,2024-01-14,48.25,Clothing,UPI
TXN971832,2024-02-20,223.37,Clothing,Debit Card
TXN670442,2024-01-30,254.19,Online Store,Cash
TXN732115,2024-01-29,98.8,Restaurant,Debit Card
TXN715672,2024-01-10,366.76,Clothing,Cash
TXN327603,2024-02-20,14.56,Electronics,Debit Card
TXN657063,2024-01-08,404.9,Clothing,UPI
TXN877525,2024-02-14,128.08,Supermarket,Debit Card
TXN870234,2024-02-07,417.95,Restaurant,Debit Card
TXN771480,2024-02-11,164.93,Restaurant,Cash
TXN942990,2024-01-08,31.7,Restaurant,Credit Card
TXN323247,2024-02-09,271.96,Clothing,Credit Card
TXN795387,2024-01-10,285.28,Online Store,Credit Card
TXN118689,2024-01-02,95.84,Electronics,Cash
TXN480496,2024-02-18,360.39,Supermarket,Debit Card
TXN401602,2024-02-01,158.34,Online Store,UPI
TXN465158,2024-01-23,10.0,Online Store,Cash
TXN520707,2024-01-28,107.87,Electronics,UPI
TXN905665,2024-02-09,306.07,Clothing,UPI
TXN689011,2024-01-11,64.58,Electronics,Cash
TXN858992,2024-01-09,389.08,Supermarket,Credit Card
TXN290011,2024-01-13,131.11,Electronics,Cash
TXN982958,2024-02-18,451.68,Electronics,Debit Card
TXN246075,2024-01-24,74.27,Online Store,Debit Card
TXN103198,2024-01-04,87.38,Supermarket,Debit Card
TXN811066,2024-02-06,290.43,Restaurant,Credit Card
TXN999156,2024-01-04,158.07,Electronics,Net Banking
TXN360118,2024-01-14,424.58,Restaurant,UPI
TXN253164,2024-01-30,432.08,Clothing,Credit Card
TXN197669,2024-01-06,229.43,Electronics,Debit Card
TXN340861,2024-02-04,42.91,Electronics,UPI
TXN698061,2024-01-21,17.79,Online Store,Credit Card
TXN861969,2024-01-07,5.78,Restaurant,Net Banking
TXN362205,2024-02-02,475.17,Clothing,Credit Card
TXN478928,2024-02-11,374.1,Online Store,UPI
TXN344635,2024-02-19,14.62,Restaurant,Credit Card
TXN800642,2024-01-24,185.51,Online Store,Debit Card
TXN282637,2024-01-10,209.3,Supermarket,Debit Card
TXN189121,2024-01-13,352.68,Supermarket,Credit Card
TXN133642,2024-01-22,461.23,Online Store,Debit Card
TXN209430,2024-02-06,306.91,Restaurant,Net Banking
TXN750850,2024-02-01,275.91,Supermarket,Cash
TXN252755,2024-02-08,30.23,Clothing,Cash
TXN659006,2024-01-17,64.21,Electronics,Cash
TXN838430,2024-01-12,326.8,Restaurant,Cash
TXN628414,2024-01-04,217.45,Clothing,Cash
TXN477315,2024-01-05,198.48,Clothing,Net Banking
TXN855475,2024-02-14,85.63,Restaurant,Credit Card
TXN737275,2024-02-16,80.53,Restaurant,Net Banking
TXN346379,2024-01-14,227.14,Clothing,Cash
TXN513627,2024-02-08,478.43,Online Store,Net Banking
TXN372809,2024-01-06,425.6,Restaurant,Net Banking
TXN711648,2024-02-01,287.32,Electronics,Net Banking
TXN951111,2024-02-01,156.15,Electronics,Credit Card
TXN586962,2024-01-03,307.84,Restaurant,Cash
TXN541502,2024-01-29,451.58,Supermarket,UPI
TXN867234,2024-02-06,232.78,Clothing,Debit Card
TXN461092,2024-02-20,162.71,Electronics,Net Banking
TXN849757,2024-02-14,370.26,Clothing,Net Banking
TXN950727,2024-01-17,437.57,Supermarket,Cash
TXN482451,2024-01-27,408.66,Electronics,UPI
TXN137193,2024-02-09,286.55,Supermarket,Cash
TXN616204,2024-01-08,109.76,Electronics,Debit Card
TXN195393,2024-01-14,376.34,Online Store,UPI
TXN333892,2024-02-14,21.81,Online Store,Cash
TXN855776,2024-02-04,425.78,Clothing,Cash
TXN711078,2024-01-12,215.34,Online Store,UPI
TXN499158,2024-02-20,182.73,Clothing,Net Banking
TXN524923,2024-02-09,484.95,Online Store,Credit Card
TXN381212,2024-02-08,421.6,Supermarket,Cash
TXN751984,2024-01-09,14.31,Restaurant,Credit Card
TXN118830,2024-01-02,328.85,Supermarket,UPI
TXN709236,2024-02-06,218.82,Online Store,Cash
TXN307675,2024-02-05,203.19,Supermarket,Debit Card
TXN127879,2024-01-15,490.72,Restaurant,UPI
TXN182890,2024-02-05,370.75,Restaurant,Credit Card
TXN432708,2024-02-07,470.6,Electronics,Debit Card
TXN739406,2024-02-03,240.22,Clothing,UPI
TXN232331,2024-01-21,495.08,Clothing,Debit Card
TXN581011,2024-01-19,424.42,Clothing,Net Banking
TXN962326,2024-01-13,487.76,Online Store,Credit Card
TXN883872,2024-01-28,271.81,Clothing,Cash
TXN283654,2024-02-01,43.01,Supermarket,Credit Card
TXN451620,2024-01-23,123.09,Electronics,Net Banking
TXN667842,2024-01-20,260.14,Electronics,Credit Card
TXN893584,2024-01-19,52.35,Clothing,UPI
TXN228548,2024-02-16,411.62,Clothing,Net Banking
TXN272344,2024-02-02,482.76,Supermarket,Debit Card
TXN651994,2024-01-23,426.94,Supermarket,Debit Card
TXN185285,2024-02-18,158.53,Supermarket,Cash
TXN840025,2024-02-04,496.96,Online Store,Debit Card
TXN562346,2024-02-04,55.49,Online Store,Cash
TXN175510,2024-02-03,297.85,Clothing,UPI
TXN937443,2024-02-11,215.82,Restaurant,Credit Card
TXN505063,2024-01-23,116.52,Supermarket,Net Banking
TXN977314,2024-02-10,113.14,Restaurant,Net Banking
TXN196707,2024-01-25,133.82,Electronics,Cash
TXN859346,2024-01-24,377.48,Supermarket,Net Banking
TXN172731,2024-02-11,364.67,Restaurant,Credit Card
TXN646855,2024-02-20,117.35,Restaurant,Net Banking
TXN712377,2024-01-10,324.88,Online Store,Net Banking
TXN750741,2024-01-01,124.78,Restaurant,Cash
TXN949088,2024-02-13,174.29,Electronics,Cash
TXN404101,2024-01-27,14.84,Clothing,Cash
TXN794641,2024-01-05,390.82,Restaurant,Debit Card
TXN781264,2024-01-18,304.03,Restaurant,Credit Card
TXN966223,2024-01-21,427.98,Electronics,Net Banking
TXN641279,2024-02-07,52.86,Electronics,Cash
TXN298507,2024-01-28,404.5,Clothing,Net Banking
TXN685715,2024-01-19,157.29,Online Store,UPI
TXN565849,2024-02-12,96.59,Electronics,Cash
TXN301840,2024-01-16,111.23,Supermarket,Debit Card
TXN469122,2024-01-01,473.93,Online Store,Credit Card
TXN950100,2024-02-11,139.54,Electronics,Credit Card
TXN302579,2024-01-18,241.26,Supermarket,Debit Card
TXN655467,2024-01-22,382.48,Online Store,Debit Card
TXN152392,2024-01-20,213.82,Electronics,Cash
TXN446125,2024-02-19,237.05,Supermarket,Cash
TXN713965,2024-01-26,23.83,Clothing,Debit Card
TXN361374,2024-01-04,245.45,Online Store,Cash
TXN158450,2024-01-27,372.59,Clothing,UPI
TXN604644,2024-01-25,439.95,Restaurant,Cash
TXN326819,2024-01-20,462.06,Clothing,Credit Card
TXN767893,2024-01-05,374.55,Online Store,Credit Card
TXN750527,2024-01-27,387.4,Clothing,Net Banking
TXN653988,2024-01-15,297.17,Restaurant,Credit Card
TXN332818,2024-01-01,462.14,Supermarket,UPI
TXN133355,2024-01-16,419.27,Supermarket,UPI
TXN481732,2024-02-18,320.18,Clothing,Credit Card
TXN983133,2024-01-03,198.63,Restaurant,Cash
TXN168313,2024-01-02,425.73,Electronics,Cash
TXN603634,2024-02-10,432.93,Online Store,Net Banking
TXN306339,2024-01-16,220.67,Electronics,Net Banking
TXN769963,2024-02-19,88.08,Supermarket,Credit Card
TXN320411,2024-01-24,368.99,Clothing,Debit Card
TXN688810,2024-02-19,108.24,Clothing,Cash
TXN247434,2024-01-28,414.68,Electronics,Credit Card
TXN276016,2024-02-07,352.56,Online Store,Net Banking
TXN599388,2024-01-24,463.67,Electronics,Credit Card
TXN999989,2024-01-31,340.53,Supermarket,UPI
TXN337652,2024-02-17,318.04,Restaurant,UPI
TXN415770,2024-01-04,443.53,Clothing,Cash
TXN370212,2024-02-16,441.71,Online Store,Cash
TXN661502,2024-01-10,462.92,Electronics,Cash
TXN199426,2024-01-04,477.64,Supermarket,Net Banking
TXN961612,2024-01-21,219.87,Restaurant,Cash
TXN984673,2024-01-01,410.88,Online Store,Credit Card
TXN697474,2024-02-12,171.43,Restaurant,Cash
TXN701267,2024-01-09,294.87,Online Store,UPI
TXN151029,2024-01-05,37.51,Supermarket,Debit Card
TXN449078,2024-01-18,152.9,Supermarket,Debit Card
TXN135066,2024-01-30,366.26,Clothing,Net Banking
TXN979444,2024-01-26,81.49,Supermarket,UPI
TXN400065,2024-02-13,209.5,Online Store,Cash
TXN431485,2024-01-12,182.07,Supermarket,Net Banking
TXN863979,2024-01-13,486.27,Supermarket,Credit Card
TXN439634,2024-02-15,232.71,Online Store,Credit Card
TXN902959,2024-02-16,421.28,Clothing,Credit Card
TXN867713,2024-02-04,467.13,Electronics,Credit Card
TXN966497,2024-01-21,199.21,Electronics,Cash
TXN869895,2024-01-14,61.84,Clothing,Credit Card
TXN739378,2024-02-14,329.2,Restaurant,Net Banking
TXN924695,2024-02-19,152.26,Supermarket,Debit Card
TXN879753,2024-01-01,461.99,Electronics,Credit Card
TXN191993,2024-02-09,199.64,Clothing,UPI
TXN474895,2024-01-26,467.04,Supermarket,Net Banking
TXN503532,2024-02-17,40.28,Restaurant,UPI
TXN405921,2024-01-05,24.87,Supermarket,Credit Card
TXN877068,2024-02-19,343.82,Electronics,Debit Card
TXN350767,2024-01-15,327.15,Online Store,Net Banking
TXN659525,2024-01-06,415.7,Supermarket,UPI
TXN788528,2024-01-17,417.93,Clothing,Credit Card
TXN138426,2024-02-02,485.95,Supermarket,UPI
TXN324453,2024-02-09,287.02,Clothing,Debit Card
TXN537881,2024-02-10,237.71,Clothing,Debit Card
TXN325381,2024-02-08,473.18,Online Store,Credit Card
TXN509258,2024-02-12,32.09,Electronics,UPI
TXN385575,2024-02-12,126.26,Online Store,UPI
TXN272154,2024-02-04,487.69,Clothing,Debit Card
TXN663975,2024-01-30,16.33,Supermarket,Credit Card
TXN758758,2024-01-13,264.42,Restaurant,Debit Card
TXN243396,2024-02-09,246.46,Supermarket,UPI
TXN798075,2024-01-19,400.82,Clothing,Debit Card
